question,answer,model_answer,attribution
"I would like to register a moped, what is the procedure?",Will you be using a moped as a permanent vehicle?,I would like to register a moped.,can certify a moped.
Yes there is,"To speed up the registration process, you can make a reservation online for any of the offices located in New York City, Westchester, Nassau, Suffolk, Rockland, Onondaga, Monroe or Albany",You need a summary of what you need,Summary of what you need
What if I don't have one of the required identification documents?,"You must provide other forms of identification, as per the website",You must register your vehicle at the DMV within 180 days of the effective date on your insurance ID card. Bring one copy of your Insurance Identification Cards with you. The DMV office will keep it. Keep the other card with you as your proof of insurance.,"Your insurance company will issue proof of insurance by giving you two original barcoded NY State Insurance Identification Cards see sample, You must register your vehicle at the DMV within 180 days of the effective date on your insurance ID card."
"Hello, I would like to register my moped. How do I proceed?",Is your vehicle a moped or a motorcycle?,"You can do this by clicking on the ""Register"" button on the top right corner of the page.",can certify a moped.
It is a moped not a motorcycle.,Do you have a driver's license and is your moped registered?,motor scooter,"New York law defines limited use motorcycles, which are commonly called "" mopeds "" or "" motor scooters "", as "" limited use vehicles with two or three wheels. """
I'm about to receive my driver's license but my moped is not registered.,"Once you get your driver's license, you need to come register your moped at the DMV.",I can't drive it down a sidewalk,You can never operate a moped down a sidewalk.
"Okay, I will do that.","Before going to the DMV, please complete the Document Guide. It will inform you of the correct documents to bring with you.",I need a list of things to do.,Summary of what you need
"I still haven't received my driver's license, can I use my learner's permit from another state?",Yes as long as it is from one of the Tri-States.,No,
Can I see a list of these eligible counties?,They are listed on the website on the office locations page.,Yes,
Are the offices open on Saturdays?,Yes some of our offices are open on Saturdays.,No,
"If I want to eventually get a moped that has three wheels, do I need a different kind of driver's license?",All new vehicles must be registered again at the DMV.,yes,
What do I need to register a moped?,Do you know what is considered a motorcycle of limited use (also known as a moped)?,a license,can certify a moped.
"That does not apply to me, I need another...","Ok, did you know that there are special requirements to operate a limited-use motorcycle (moped) in New York?",I need a new job.,Summary of what you need
That does not apply to me.,"Ok, come on again I would like to know what you need to take to the DMV...",You must be at least 16 years old to register a vehicle in New York except a boat or ATV.,You must be at least 16 years old to register a vehicle in New York except a boat or ATV.
How do I go about registering a moped?,Does yourmode of transportation have more than two or three wheels?,You can register a moped by registering it online.,can certify a moped.
no ,They are the same requirements as motocrycles,no,
ok then that does not apply to me. Thank you ,Did you complete the document guide?,Is there anything else I need to know?,Summary of what you need
id like to register a moped,is it a limited used moped?,yes,can certify a moped.
"no a regular moped, it has 2 wheels and moves around 50mph",does it have 3 wheels?,motor scooters,"New York law defines limited use motorcycles, which are commonly called "" mopeds "" or "" motor scooters "", as "" limited use vehicles with two or three wheels. """
i have a document i can bring to an office,i have a manual and a license,[2],Find your proofs [3 ]
i am in the UK where do i bring my documents?,i can see your local office to bring them and will share the address,DMV office,What do I need to bring to the DMV?
can i still use my moped without my documents?,you are still able to use your moped just bring the documents to us to copy and have on file,[2],Find your proofs [3 ]
i will also bring proof of insurance and my id card,if your insurance is up to date there will be no issues,yes,
i have full insurance and full drivers permit,i look forward to seeing you with your relevant documents,no,
I just passed my test and I want to know what is next.,You will receive an interim license that will allow you to drive and that you must to keep it with your photo learner permit. You will receive your photo driver license in the mail  in about 2 weeks.,I need to schedule another road test.,"You can schedule another road test , but you must pay additional fees if you failed your first two road tests."
What should I do after passing my road test if I am 16 years old and I have a Class DJ driver license?,"You must obey the restrictions for junior drivers. For more information, I invite you to see the Graduated Driver License GDL Law and restrictions on drivers under age 18.",Keep the interim license with your photo learner permit,"Keep the interim license with your photo learner permit you will receive your photo driver license in the mail, in about 2 weeks if you are under age 18 and have a Class DJ, MJ or DJMJ driver license , you must obey the restrictions for junior drivers see Graduated Driver License GDL Law and restrictions on drivers under age 18 [9 ]"
What happens if I fail my test?,No problem if you fail your test.,You must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
What happens if I fail my non-commercial license road test?,Your learner permit remains valid until the expiration date.,your learner permit remains valid until the expiration date,"If you fail a non - commercial license road test , your learner permit remains valid until the expiration date."
What if my learner permit expires before my next road test?,"In that cse, you must get a new learner permit. For more information, see ""Get a learner permit"".",you must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
"Hi, i'm going to take my road test soon, and i know is getting way ahead, but i wanted to know what happens once i pass the test?","Once you pass your test, the license examiner will give you an interim license. Until you receive your photo drive license by mail in a period of two weeks, the interim license will allow you to drive, so keep it along you photo learner permit all the time.",I will get a new learner permit.,"If your learner permit expires before your next road test , you must get a new learner permit."
"Wow, that's cool, and what if i'm still under 18? Is there any advice you could give me?","If you still underage, then you must know you have to obey any restrictions for those junior drivers. For more information, please check the Graduated Driver License law and restrictions.",You must wait at least 6 months from the date you received your learner permit to schedule your road test.,"If you are under 18 
If you are under age 18 , you must wait at least 6 months from the date you received your learner permit to schedule your road test."
"Um, ok, i'll check that out. Listen, i went for that myself, but i wanted to know for a friend. Where she can find more information about pre-licensing certificate?","Very simple. Just need to tell her to check the Prepare for your Road Test document. There she'll find out all the info she wants to know, as the fee she must pay, for example.",[3 ],"You need 
a valid New York State learner permit see a sample learner permit [3 ] an original, unexpired Pre - Licensing Course Certificate MV-278 or a Student Certificate of Completion MV-285 1 at least one unused test available 2 the ZIP Code for the test site - find test locations, directions and ZIP Codes [4 ]"
"Thanks, i'll tell her. uh, i don't want to think about it, but, what happens if i fail may test?","I understand your concerns. In that case, you'll be able to keep using your learner permit until you get another road test.",You must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
"Ok ,but what if my permit expires before that? Can i get a new one and not miss my test?","Yes, you must get a new one before your new road test. You should check Get a learner permit for more info about it.",Yes,
"I have passed my road test, now what?",You will receive an interim license that allows you to drive. Keep the interim license with your photo learner permit. You will receive your photo driver license in the mail  in about 2 weeks.,I have to pay additional fees,"You can schedule another road test , but you must pay additional fees if you failed your first two road tests."
What should I do if I am 17 years old and I have a DJ Class driver's license?,"You must obey the restrictions for junior drivers. Please, see ""Graduated Driver License GDL Law and restrictions on drivers under age 18"" for more information.",obey the restrictions for junior drivers see Graduated Driver License GDL Law and restrictions on drivers under age 18,"Keep the interim license with your photo learner permit you will receive your photo driver license in the mail, in about 2 weeks if you are under age 18 and have a Class DJ, MJ or DJMJ driver license , you must obey the restrictions for junior drivers see Graduated Driver License GDL Law and restrictions on drivers under age 18 [9 ]"
"I would like to pay for additional tests, how can I do it?",Did you fail your road test?,You can pay for tests by credit card.,How to pay for additional tests
Sadly yes,You can pay for additional tests online or by phone.,No survey,": 


yes or no survey:"
How can I get one a Pre-Licensing Course Certificate MV-278?,"First of all, see ""Prepare for your road test"". Then the fee for up to two road tests for a non-commercial license is included in your $10 driver license application fee. The earliest date is within three to five weeks.",You must obtain it from the Department of Motor Vehicles,"your photo learner permit 4 glasses or contacts , if your permit indicates you need corrective lenses your original Pre - licensing Course Certificate MV-278 or Student Certificate of Completion MV-285, copies are not acceptable if you are under 18, a Certification of Supervised Driving PDF [7] MV-262 completed by your parent or guardian - this must be given to the license examiner each time you take a road test who has a license valid to operate the test vehicle a driver age 21 or older to"
My temporary learner permit is without a photo... is this a problem?," You must show a NY State photo driver license or a NY State non-driver ID Card, Photo documents from other states are not acceptable. The vehicle must have functional seat belts, headlights, windshield wipers and other equipment, a front passenger area and a seat belt free of debris, clutter or debris that may stain or damage the license examiner's uniform, and a driver's door front passenger that can be opened from inside the vehicle.",No,
What happens if I fail my road test?,"The main thing is not to worry, it's not the end of the world",You must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
"If I have a temporary learner permit, without a photo, how do I pay for any additional road tests?","If your license is temporary, you must bring your NY State driver license with you, or alternatively, a NY State non-driver ID Card",pay the fee with a credit or debit card,"To pay , you must have a valid learner permit or driver license provide your DMV ID Number from your Learner Permit Client ID Number and your date of birth have no other road tests currently available pay the fee with a credit or debit card 7 Pay additional road test fees online [11 ] Pay additional fees by phone : 1 - 518 - 402 - 2100 For information about how to get a Pre - Licensing Course Certificate MV-278 ,"
How do I pay for an additional road test after failing the initial test?,You can pay for this either online or by phone,You can pay for the additional test by credit card or cash.,How to pay for additional tests
I would like to know what happens after passing my road test.,"You will receive from our license examiner an interim license that allows you to drive. Please, keep the interim license with your photo learner permit. You will receive your photo driver license in the mail in about 2 weeks.",I will get a new learner permit.,"If your learner permit expires before your next road test , you must get a new learner permit."
What are the steps if I am 17 years old?,"If you are 17 years old and you have a Class DJ, MJ or DJMJ driver license, you must obey the restrictions for junior drivers. For more information you can see ""Graduated Driver License GDL Law and restrictions on drivers under age 18"".",You must wait at least 6 months from the date you received your learner permit to schedule your road test.,"If you are under 18 
If you are under age 18 , you must wait at least 6 months from the date you received your learner permit to schedule your road test."
How can I get a Pre-Licensing Course Certificate MV-278?,"For more information about it, see ""Prepare for your road test"". The fee for up to two road tests for a non-commercial license is included in your $10 driver license application fee. The earliest date is within three to five weeks.",You must obtain a copy of your photo learner permit,"your photo learner permit 4 glasses or contacts , if your permit indicates you need corrective lenses your original Pre - licensing Course Certificate MV-278 or Student Certificate of Completion MV-285, copies are not acceptable if you are under 18, a Certification of Supervised Driving PDF [7] MV-262 completed by your parent or guardian - this must be given to the license examiner each time you take a road test who has a license valid to operate the test vehicle a driver age 21 or older to"
What if I fail my road test?,"Don't worry about it, you can pay for additional tests online or by phone.",(iii),
"My learner permit will expire 2 weeks before my road test, is that a problem?","Yes, you must get a new learner permit. For more information about it, please, see ""Get a learner permit"".",Yes,
Can I use the DMV Road Test System to obtain my CDL?,"Yes, you are able to schedule a CDL test online or by phone.",Yes,
How long will it take to receive my driver license in the mail?,It will take about 2 weeks for you to receive your photo driver license in the mail.,2 weeks,"Keep the interim license with your photo learner permit you will receive your photo driver license in the mail, in about 2 weeks if you are under age 18 and have a Class DJ, MJ or DJMJ driver license , you must obey the restrictions for junior drivers see Graduated Driver License GDL Law and restrictions on drivers under age 18 [9 ]"
How do you pay for additional tests if you fail?,You can for additional tests either online or by phone. ,You can pay for the tests by paying for the test itself.,How to pay for additional tests
What would cause a test to be cancelled? ,A test can be cancelled for various reasons including bad weather or road construction.,bad weather or road construction,"Make sure your test was not rescheduled or relocated 
Tests can be cancelled / rescheduled or relocated because of bad weather or road construction."
Am I able to cancel my test?,You are able to cancel your test either by phone or online.,Yes,
I would like to schedule a road test please.,"Please use the road test system to schedule confirm, cancel or schedule a driving skills road test including CDL and motorcycle online or by phone",Yes,
how do i pay for addtional tests?,you can pay additional tests online or by phone.,pay for them online,How to pay for additional tests
doesnt apply,to pay. does this apply to you?,documents from other states,documents from other states are not acceptable.
no,have a valid learner permit?,No,
how to reschedule an appointment,you must cancel your appointment before you can search for a new date. you can not have more than one appointment at a time,Schedule by phone,"Schedule , cancel or reschedule a road test online [5 ] Schedule by phone : 1 - 518 - 402 - 2100 

On your test day"
what do i need for additional tests?,have a valid learner permit or driver license,a credit card,How to pay for additional tests
do i need a dmv id number?,provide your dmv id number from your learner permit client ID number,no,": 


yes or no survey:"
what happens if i fail a test,you can schedule another road test,your learner permit remains valid until the expiration date,"If you fail a non - commercial license road test , your learner permit remains valid until the expiration date."
do i need a new learner permit?,see get a learner permit.,yes,"You need 
a valid New York State learner permit see a sample learner permit [3 ] an original, unexpired Pre - Licensing Course Certificate MV-278 or a Student Certificate of Completion MV-285 1 at least one unused test available 2 the ZIP Code for the test site - find test locations, directions and ZIP Codes [4 ]"
"I want to taje a road test, can you help me schedule it?",The DMV road test system can help you schedule or reschedule ,Yes,
You need to bring your learner permit that has your photo on it,Please bring your photo learners permit,(iii),
"I am under 18, does that make a difference ?","Just to verify, Are you under 18 years old?",yes,
Yes i am under 18 years old,After you get your learners permit you have to wait 6 months. Then you can schedule  your road test,Yes,
What happens if i am late for my test?,"We would prefer you are on time, if you are late you may need to reschedule ",You must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
What if a test may be cancelled due to weather or road conditions?,For your convenience check the DMV cancellations beforehand to find out if you may need to reschedule ,Make sure your test was not rescheduled or relocated,"Make sure your test was not rescheduled or relocated 
Tests can be cancelled / rescheduled or relocated because of bad weather or road construction."
What happens if I fail my test?,It is not uncommon for someone to fail the test. We are available to answer your questions and work with you so that your nest test is a success. ,You must get a new learner permit,"If your learner permit expires before your next road test , you must get a new learner permit."
"Hi, please, can you tell me which documents i need to ask from DMV related to registering a vehicle?","No problem. You'll need to ask for 1 or 2 vehicle plates. That is, unless you have ones from another vehicle and you want to transfer them to be registered in NY. The thing you need to ask is your registration window sticker.",a copy of the title deed,"Step 2: Bring required documents to the DMV 


What you need to register 
Complete DMV s Document Guide to make sure you have the correct proofs of identification and other documents before you come to a DMV office."
"Morning! I just read about the PBS license on an article but I don't know what's that, and I couldn't found any information about that. Could you help me out a bit? I'm interested because I'm not sure if I should get a PBS license.","A Private Service Bureau PSB license is required of any person, firm , association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles , registrations , or titles of motor vehicles.","I'm not sure what's that, and I couldn't find any information about that. How to Apply","About Private Service Bureau Licenses[1] 
A Private Service Bureau PSB license is required of any person, firm, association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles, registrations, or titles of motor vehicles."
What are the requirements?,You want to apply to operate a PSB license? .,application requirements,Application Requirements
"Yes, I want to have a PSB license. ","To apply for a license to operate a PSB, you must submit the NY State DMV: A) your form PSB-3 that shows your PSB name was approved by the DMV see aboveB) a photocopy of a valid NY State driver license or non - driver photo ID C)...I'll send you a document with the rest of the requirements so you can save it in your computer and check them whenever you want.ApplicationforPSB.pdf",Is there anything else I can help you with?,
"Ok, I read it but it does not say anything if I don't have emplyees. ",If you don't have any employees you must submit a completed Form CE-200 Certificate of Attestation of Exemption from NY State Workers Compensation. This is to show a government agency that NY State Workers Compensation insurance is not required,Is there a way to get a job?,Application Requirements
"Hi, can you tell me something about the private service bureau licenses?","Sure. A PSB is a type of license that is required for any person, firm, association or corporation that gets engaged in the business of assisting for hire in securing licenses in order to drive motor vehicles, registration or titles of motor vehicles.","A Private Service Bureau PSB license is required of any person, firm, association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles, registrations, or titles of motor vehicles.","About Private Service Bureau Licenses[1] 
A Private Service Bureau PSB license is required of any person, firm, association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles, registrations, or titles of motor vehicles."
"Just in case, what should i expect if i apply for PSB?","You should expect for your application to be reviewed in Albany's DMV. After that, it will be sent to your local DMV office and you'll be scheduled for an inspection.",I will be able to apply for a job in the future.,What to expect after you apply
"Um, other this is, in case i have more questions about this o anything else, where i have to go or call?",A call is the fastest way to reach your DMV office. Please make use of the following number for all your inquiries: 1-518-473-6586.,Albany,"After your application is reviewed by the DMV in Albany , it is sent to your local Motor Vehicle office."
"Hi, I just wanna know when i need to own a private bureau service license?","Sure. You need a PSB if you are a person, firm, association or corporation which is engaged assisting for hire securing licenses to drive motor vehicles, registration or titles of motor vehicles.","A Private Service Bureau PSB license is required of any person, firm, association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles, registrations, or titles of motor vehicles.","About Private Service Bureau Licenses[1] 
A Private Service Bureau PSB license is required of any person, firm, association or corporation engaged in the business of assisting for hire in securing licenses to drive motor vehicles, registrations, or titles of motor vehicles."
And how do i apply for it??,"Before that, are willing to go through a name approval?",You can apply for a job by filling out the application form on the website.,What to expect after you apply
"Anyhow, i don't have any employees for that right now, is that a problem?","In that case, you must submit a completed form CE-200 or Certificate of attestation of Exemption from NYS Workers Compensation. That way you show the government that this insurance is not required.",no,
"Hi, i wanted to know if i'm required a PSB license?","Well, if you're in the business of assisting for hire in securing licenses to drive motor vehicles, registrations or titles of motor vehicles, regardless you are a person, firm, association or corporation, certainly you are required a PSB license.",Yes,
Can you tell me something about application for it?,"In first place, it requires for you to request a name approval, would you do that?",requirements,Application Requirements
"If that's what is needed, yeah, i'll do it.","Peferct. Then, before you can apply for a PSB, you must submit a Name Selection Form for PSB applicants or PSB-3 form, and then receive approval from the DMv for that name.",I'll do it.,The local office schedules an inspection.
"So, after i get approval for my name, what's next?","Well, first is to apply for PSB, then you'll have to wait for your application being reviewed by the DMV in Albany and being sent to your local DMV for schedule an inspection.",I will be contacted by the company.,What to expect after you apply
And that inspection would be scheduled when?,"That would be when there is an inspector available. When that happens, the inspector can ask you to provide some documents for review, such as the following: The original lease and the original business certificate and/or corporate papers and/or filling receipt.","After your application is reviewed by the DMV in Albany, it is sent to your local Motor Vehicle office","After your application is reviewed by the DMV in Albany , it is sent to your local Motor Vehicle office."
"Hello, I need some help with PBS licenses. I don't know if I need one, I'm engaged in the business of assisting for hire in securing licenses, should I get one?. I'd love if you can help me sort that out.","Yes, you certainly need one as you are a person engaged in the business of assisting for hire in securing licenses to drive motor vehicles.. .etc.","Yes, I'd like to get a license.",How to Apply
"BTW, I know there's a chance that the inspector visits your location. What should I expect from that?","They can ask you to provide some documents to review them. 
1) The original leases
2) The original business certificate and/or corporate papers and/or filing receipts
3) A sample customer receipt

If you have all those documents up to date, there's nothing to worry about. ",I'll be asked to provide proof of Workers Compensation Insurance,"When the inspector visits your location , the inspector can ask you to provide the following for review the original lease the original business certificate and/or corporate papers and/or filing receipt a sample customer receipt a permanent , bound book a filing cabinet your proof of Workers Compensation Insurance if required three character"
"Hi, i need information about traffic violation tickets?",Have you been involved in any traffic violation lately?,What is the best way to get a ticket?,What To Do If You Receive A Traffic Ticket
"No, i haven't.",Have you been issued a ticket?,Have you heard of the ALJ's decision?,"If you believe the ALJ's decision was incorrect based on the facts and the law , you may file an appeal."
"No, neither.",Have you attended any hearing?,No,
"No, i haven't any of those in my record.",Have you filed any appeals?,I haven't,
"Hi, i received a traffic ticket a little while ago and need info about t?",Sure. Do you have an specific question on that matter?,t,What To Do If You Receive A Traffic Ticket
My violation points from a 18 month period does not add up 11. What's the consequence if they add up 11 or more?.,In that case your license may be revoked or suspended following a hearing.,You will be charged with a cell phone / texting violation.,"If you are a holder of a probationary / junior license or learner permit and you are charged with a cell phone / texting violation on or after July 1 , 2013 , you cannot plead by mail or online."
"Yes that's what they did. But I was also issued a ticket before that, but I don't know what to do with that.","Follow the instructions on the ticket for the plea you wish to make , and act promptly.",What will Others want to do next?,IF YOU ARE ISSUED A TICKET
"Good afternoon, I got a traffic ticket yesterday and i don't know what to do?",The tickes was issued for a criminal traffic violation?,I'm going to get a ticket for a traffic ticket.,What To Do If You Receive A Traffic Ticket
"No, not at all.","Ok.But you don't know what to do, right?",No,
"I feel terrible, I got a traffic ticket. What do I do?","To confirm, you have received the ticket yourself?",I call the police.,What To Do If You Receive A Traffic Ticket
Yes I did.,Was the ticket for a non-criminal moving violation in one of the five boroughs of New York?,Didn't I file an appeal?,The appeal form is also available at TVB offices.
What do I do if I get a traffic ticket?,It will be handled by a New York State Department of Motor Vehicles DMV,I will need to get a ticket from the police.,What To Do If You Receive A Traffic Ticket
This doesnt apply to me,"This doesnt apply to you, so what else can I help you with?",I don't want to testify,do not have to testify but you may if you wish.
"Thank you, this applies to me. Tell me mroe",Please just follow the instructions on the ticket for the plea you wish to make,"The ALJ will listen to sworn testimony from the police officer, who will explain why you were given the ticket. Then, you or your attorney may ask the officer questions. The judge may ask witnesses questions to better understand their testimony.","The ALJ will listen to sworn testimony from the police officer, who will explain why you were given the ticket."
Can I bring witnesses with me?,Yes. You may present witnesses and evidence at a hearing ,Yes,"courts in other areas of the state , you may present witnesses and evidence at a hearing before an ALJ and be represented by an attorney."
What if I dont show up?,You could be found guilty of the charge because of your failure to respond,you cannot be found guilty,You cannot be found guilty just because you do not testify.
Who tells me if im guilty or not?,The ALJ will decide whether or not your are guilty,the ALJ,If the charge is proven and you are found guilty
what to do if i receive a traffic ticket?,if you are issued a ticket for a non criminal moving traffic violation in the five buroughs of new york city. does this apply to you?,ask the officer,What To Do If You Receive A Traffic Ticket
Yes,Did you get a non criminal traffic violation in the five boroughs of new york city?,Yes,
Yes,it will be handled by a new york state department of motor vehicles dmv traffic violations bureau,Yes,
what to do if i plead guilty?,"fill in requested information, sign it, either mail it with your payment or bring your payment to any TVB office",go to the TVB,"If you plead guilty to such a charge by mail , you will be notified that you must go to the TVB to"
what about suspensions?,as the number of suspensions you have increases. a driver is suspended for a ticket not answered and fine not paid,revoked,license may be revoked or suspended following a hearing.
when can i leave my hearing?,the ALJ will decide whether or not you are guilty,When can I leave my hearing?,ATTEND YOUR HEARING
what if i plead not guilty?,your case wull be heard by a dmv administrative law judge,the penalties also increase,"As the number of suspensions you have increases , the penalties also increase."
can i bring witnesses?,yes. you may present witnesses,yes,"courts in other areas of the state , you may present witnesses and evidence at a hearing before an ALJ and be represented by an attorney."
I need to change my license from Class D to Class E.,Have you completed the necessary requirements?,Yes,
"No, I haven't done it yet.",Do you know what identification you need to bring to the DMV?,I'm not sure.,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
"Yes, I know which one.",Find your proofs of identity to bring to an office.,Enhanced,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
What should I do if I want a Standard that is not for federal purposes?,You need to bring your current NY State license as proof of identity.,"Change your existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "", bring your current NY State license as proof of identity","Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
"I plan to drive a taxi, what should I do?",You need  to contact the Taxi and Limousine Commission.,Contact the Taxi and Limousine Commission,"If you plan to drive a taxi or livery vehicle in New York City , contact the Taxi and Limousine Commission [6]."
"My licence was issued on January 25, 2017, What kind of document will I have?",You will have a Standard document.,Standard document,Newly issued Standard license and permits state : ' NOT FOR FEDERAL PURPOSES '
"Hello, i'm interested in changing my license from Class D to Class E, please.",Have you completed any procedures or applications yet?,What is the best title for this post?,"Step 3: Go to the DMV 
surrender your Class D license."
"No, i haven't.","Ok, have you at least verified what kind of identification you need to bring to the DMV?",Have you been on a flight before?,"October 2020 , you will need an Enhanced or REAL ID to board a domestic flight unless you have a passport."
Do i need to verify that before hand?,"Yeah, that's the correct thing to do. Besides, you need to find your proofs also.",Yes,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
"How do i know if my license is Enhanced or not? All i know it was issued in February 2017, can you clarify this to me, please?","Don't worry, sure i  can do that. Seeing that date, i have to inform you that license is just a standard one.",Enhanced,"October 2020 , you will need an Enhanced or REAL ID to board a domestic flight unless you have a passport."
"Ok, thanks for the clarification. Another question, a friend of mine is looking to get its first driver license, which type could be better for him?","If he's going to apply for the first time, a E type driver license could be just the better, instead a D type. That's because both license requires the same vision and share written and road tests.",Class E,Apply for a Class E driver license instead of a Class D driver license.
I am looking to change my license from Class D to Class E. What do I do?,Are you at the start of this process?,Go to the DMV surrender your Class D license,"Step 3: Go to the DMV 
surrender your Class D license."
"No, I am just enquiring",Do you know what form of identification you need to bring with you to the DMV?,I am not sure what ID I need,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
"What form of ID do I bring with me if I am looking for a Standard license that will display ""NOT FOR FEDERAL PURPOSES""?","In this instance, you must bring your current NY State license as proof of identity",Enhanced,"October 2020 , you will need an Enhanced or REAL ID to board a domestic flight unless you have a passport."
"What happens if my license was issued before October 30, 2017 and is not Enhanced?","Well in this case, you have a Standard document",I have a Standard document,"If your license or permit was issued before October 30 , 2017 and is not Enhanced , you have a Standard document."
Hello I need to know how to change my license from Class D to Class E,have you completed the application for Standard Permit?,What is the process for changing your license from Class D to Class E?,"Step 3: Go to the DMV 
surrender your Class D license."
"I have, yes. I completed the application for Standard Permit.","Ok, besides the Application for Standard Permit you need to complete the Driver Licenses for Non-Driver ID Card PDF MV-44",Yes,"Step 1: Complete the 
Application for Standard Permit, Driver License for Non - Driver ID Card PDF [2] MV-44"
"I'm planning a trip soon, any recommendation about my ID?",A good recommendation would be to go to the DMV first and ask for an Enhanced or REAL ID so you can avoid going to the office again later.,Enhanced,"October 2020 , you will need an Enhanced or REAL ID to board a domestic flight unless you have a passport."
what should I get for a Non-DRiver ID Card?,That would be the Driver License for Non -Driver ID card PDF MV-44,MV-44,"Step 1: Complete the 
Application for Standard Permit, Driver License for Non - Driver ID Card PDF [2] MV-44"
"I don't have a New York State driver license, what do you recommend me to do?",you should apply for a Class E driver license instead of a Class D. The tests for both types of licenses are the same.,get a driver's license,If you do not have New York State driver license
Will I need an Enhanced ID for domestic flights in the near future?,"Yes, from October 2020 onwards you'll need to have an Enhanced or REAL ID to board domestic flights.",Yes,
What do I need to know to be able to drive a taxi in New York City?,You first need to contact the Taxi and Limousine Commission.,a driver license,Apply for a Class E driver license instead of a Class D driver license.
I want to change to Class E license from a Class D.,There are 4 steps for that. The first is to complete the application.,Yes,
What is the application name?,"The application is called a Standard Permit , Driver License for Non - Driver ID Card PDF [ 2 ] MV-44.",: Change my existing NY State license / ID to a REAL ID or Enhanced,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
What is the second step?,Determine what you need for identification at the DMV. You would need to complete this guide to know what you need for identification if you wan a REAL ID or an Enhanced ones.,Determine what proofs of identity you need to bring to the DMV if you want a REAL ID or Enhanced,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
What if I just wanted a Standard ones?,"For the Standard ones that only display "" NOT FOR FEDERAL PURPOSES "", you would just need your current NY State license as proof.","Change your existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "", bring your current NY State license as proof of identity","Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
So i only need that as proof of identity for the Standard ones?,Yes. You are correct.,Yes,"Step 2: Determine what identification you need to bring to the DMV 
if you want a REAL ID or Enhanced, complete this document guide to know what proofs of identity to bring to an office Find your proofs [3 ] On the first page , select : Change my existing NY State license / ID to a REAL ID or Enhanced if you want a Standard that will display "" NOT FOR FEDERAL PURPOSES "" , bring your current NY State license as proof of identity"
